WKT,ID,目撃痕跡種別,出没年,出没日,時刻,市町名,場所,備考,頭数,集落,集落コード,500mメッシュコード,緯度,経度,河川からの出没
POINT (136.474998 36.392126),839,目撃,R2,R2.9.26,7時20分,小松市,小松市吉竹町,7時10分頃不動島町地内にて、クマ幼獣1頭を目撃、7時10分頃に若杉町、7時20分頃に吉竹町で引続き目撃;パトロール（市職員5名、捕獲隊2名、警察1台）;周辺を確認し痕跡あり,1,吉竹町,1.72E+09,5.44E+08,36.392126,136.474998,1
POINT (136.395347 36.302059),845,目撃,R2,R2.9.26,23時00分頃,加賀市,加賀市宇谷町,会社の社員寮付近でクマ1頭を目撃,1,宇谷,1.72E+09,5.44E+08,36.302059,136.395347,1
POINT (136.7013782 36.5221161),856,目撃,R2,R2.9.28,22時00分頃,金沢市,金沢市銚子町地内,親グマ1頭、子グマ2頭を道路付近で目撃,3,銚子口,1.72E+09,5.44E+08,36.5221161,136.7013782,1
POINT (136.517974 36.400558),857,目撃,R2,R2.9.29,0時45分頃,小松市,小松市遊泉寺町,主要地方道小松・辰口線川尻橋付近にて、クマ成獣1頭幼獣1頭を目撃;パトロール（市職員1名、捕獲隊2名）;周辺を確認し痕跡あり,2,遊泉寺町,1.72E+09,5.44E+08,36.400558,136.517974,1
POINT (136.513241 36.407874),870,目撃,R2,R2.10.1,6時45分頃,小松市,小松市埴田町,徳橋神社付近にて、クマ成獣1頭幼獣2頭を目撃;パトロール（市職員8名、捕獲隊4名、警察、消防）;周辺を確認し痕跡あり,3,埴田町,1.72E+09,5.44E+08,36.407874,136.513241,1
POINT (136.476591 36.384357),880,目撃,R2,R2.10.3,2時35分頃,小松市,小松市千木野町,千木野町中バス停付近にて、クマ成獣1頭を目撃;パトロール（市職員3名、捕獲隊1名）;周辺を確認し痕跡あり,1,千木野町,1.72E+09,5.44E+08,36.384357,136.476591,1
POINT (136.446968 36.332124),896,目撃,R2,R2.10.5,1時41分頃,小松市,小松市粟津町,主要地方道小松山中線、粟津温泉中交差点付近にて、クマ成獣1頭を目撃;パトロール（市職員2名、捕獲隊1名、消防）;周辺を確認し痕跡なし,1,粟津町,1.72E+09,5.44E+08,36.332124,136.446968,1
POINT (136.5255377 36.4547997),906,目撃,R2,R2.10.6,6時50分頃,能美市,能美市上清水町地内,上清水町ロ59番地の民家敷地（竹やぶ）で、クマ2頭（成獣1頭・幼獣1頭）を目撃,2,上清水,1.72E+09,5.44E+08,36.4547997,136.5255377,1
POINT (136.477252 36.391843),908,目撃,R2,R2.10.6,17時50分頃,小松市,小松市吉竹町,吉竹会館付近にて、クマ成獣1頭を目撃;パトロール（市職員4名、捕獲隊1名）;周辺を確認し痕跡あり,1,吉竹町,1.72E+09,5.44E+08,36.391843,136.477252,1
POINT (136.312795 36.301063),915,目撃,R2,R2.10.7,5時53分頃,加賀市,加賀市熊坂町,大聖寺駅付近でクマ1頭を目撃,1,熊坂,1.72E+09,5.44E+08,36.301063,136.312795,1
POINT (136.477517 36.393111),916,目撃,R2,R2.10.7,6時08分,小松市,小松市吉竹町,吉竹東交差点付近にて、クマ成獣1頭による人身被害が発生;パトロール（市職員10名、捕獲隊6名、警察、消防）;周辺パトロール、注意喚起実施,1,吉竹町,1.72E+09,5.44E+08,36.393111,136.477517,1
POINT (136.6826733 36.5508817),920,目撃,R2,R2.10.7,10時40分頃,金沢市,金沢市小立野2丁目地内,クマ1頭（1.0ｍ程度）が東側の斜面方向へ移動した,,上野本町,1.72E+09,5.44E+08,36.5508817,136.6826733,1
POINT (136.473151 36.382104),925,目撃,R2,R2.10.8,6時25分,小松市,小松市千木野町,主要地方道金沢小松線、本江交差線付近にて、クマ成獣1頭を目撃;パトロール（市職員3名、捕獲隊1名）;周辺を確認し痕跡あり,1,千木野町,1.72E+09,5.44E+08,36.382104,136.473151,1
POINT (136.6915076 36.5314084),940,目撃,R2,R2.10.8,20時20分頃,金沢市,金沢市土清水3丁目地内,親グマ1頭、子グマ2頭を道路付近で目撃,3,土清水町,1.72E+09,5.44E+08,36.5314084,136.6915076,1
POINT (136.5016762 36.4294342),943,目撃,R2,R2.10.9,6時10分頃,能美市,能美市牛島町地内,牛島町の墓苑付近で体長1mほどのクマ1頭を目撃,1,牛島,1.72E+09,5.44E+08,36.4294342,136.5016762,1
POINT (136.44449 36.338886),1002,目撃,R2,R2.10.14,19時00分,小松市,小松市津波倉町,主要地方道小松山中線、津波倉東交差点付近にて、クマ成獣1頭を目撃;パトロール（市職員1名、警察）;周辺を確認し痕跡あり,1,津波倉町,1.72E+09,5.44E+08,36.338886,136.44449,1
POINT (136.434746 36.340032),1011,目撃,R2,R2.10.15,7時00分,小松市,小松市林町,コマツドーム付近にて、クマ成獣1頭を目撃;パトロール（市職員多数、捕獲隊4名、警察、消防）;周辺を確認し痕跡あり,1,林町,1.72E+09,5.44E+08,36.340032,136.434746,1
POINT (136.439023 36.341414),1013,目撃,R2,R2.10.15,9時15分,小松市,小松市林町,林町公民館付近にて、クマ幼獣1頭を目撃;パトロール（市職員2名）;周辺を確認し痕跡なし,1,林町,1.72E+09,5.44E+08,36.341414,136.439023,1
POINT (136.3894662 36.31122941),1049,目撃,R2,R2.10.17,18時10分頃,加賀市,加賀市松山町,竹内印刷付近で1頭を目撃,1,松山,1.72E+09,5.44E+08,36.31122941,136.3894662,1
POINT (136.389838 36.300933),1051,目撃,R2,R2.10.18,0時40分頃,加賀市,加賀市勅使町,勅使町特別養護老人ホームちょくし付近で1頭を目撃,1,勅使,1.72E+09,5.44E+08,36.300933,136.389838,1
POINT (136.632022 36.424014),1052,目撃,R2,R2.10.18,1時00分頃,白山市,白山市白山町地内,白山町地内セブンイレブン鶴来白山町店付近の田でクマ１頭を目撃,1,白山町,1.72E+09,5.44E+08,36.424014,136.632022,1
POINT (136.6313033 36.42573575),1053,目撃,R2,R2.10.18,5時55分頃,白山市,白山市白山町地内,白山町地内にあるゲンキー白山店付近の畑でクマ１頭を目撃,1,白山町,1.72E+09,5.44E+08,36.42573575,136.6313033,1
POINT (136.358051 36.280974),1056,目撃,R2,R2.10.18,19時30分頃,加賀市,加賀市山代温泉,山代温泉地内で1頭を目撃,1,山代温泉,1.72E+09,5.44E+08,36.280974,136.358051,1
POINT (136.389376 36.311147),1058,目撃,R2,R2.10.18,19時55分頃,加賀市,加賀市松山町,松山町地内で1頭を目撃,1,松山,1.72E+09,5.44E+08,36.311147,136.389376,1
POINT (136.510089 36.423444),1060,目撃,R2,R2.10.18,21時00分,小松市,小松市河田町,主要地方道寺畠小松線、河田町北交差点付近にて、クマ幼獣1頭を目撃;パトロール（市職員1人、捕獲隊1名）;周辺を確認し痕跡なし,1,河田館,1.72E+09,5.44E+08,36.423444,136.510089,1
POINT (136.6830282 36.5293306),1061,目撃,R2,R2.10.18,22時15分頃,金沢市,金沢市大桑町地内,クマ1頭（1.0ｍ程度）を車で走行中に目撃。犀川方向に行った。,1,大桑,1.72E+09,5.44E+08,36.5293306,136.6830282,1
POINT (136.3592302 36.30819837),1062,目撃,R2,R2.10.18,22時55分頃,加賀市,加賀市加茂町,加茂神社付近で1頭を目撃,1,加茂,1.72E+09,5.44E+08,36.30819837,136.3592302,1
POINT (136.350049 36.320648),1064,目撃,R2,R2.10.19,5時00分頃,加賀市,加賀市作見町,加賀温泉駅構内地下道付近で1頭を目撃,1,作見,1.72E+09,5.44E+08,36.320648,136.350049,1
POINT (136.6810407 36.5363967),1065,目撃,R2,R2.10.19,6時08分頃,金沢市,金沢市涌波2丁目地内,クマ1頭（成獣）が南小立野小学校西側の道路上にいるのを目撃,1,涌波町,1.72E+09,5.44E+08,36.5363967,136.6810407,1
POINT (136.359344 36.308225),1067,目撃,R2,R2.10.19,7時45分頃,加賀市,加賀市加茂町,加茂神社付近で1頭を目撃,1,加茂,1.72E+09,5.44E+08,36.308225,136.359344,1
POINT (136.352982 36.320472),1068,目撃,R2,R2.10.19,7時50分頃,加賀市,加賀市作見町,アビオシティ加賀で1頭を目撃,1,作見,1.72E+09,5.44E+08,36.320472,136.352982,1
POINT (136.352435 36.284845),1070,目撃,R2,R2.10.19,8時55分頃,加賀市,加賀市山代温泉,加賀百万石ホテル付近で1頭を目撃,1,山代温泉,1.72E+09,5.44E+08,36.284845,136.352435,1
POINT (136.5770389 36.4180121),1074,目撃,R2,R2.10.19,14時20分,能美市,能美市鍋谷町地内,鍋谷町ト190番地の民家でクマ1頭を目撃。その後、鍋谷川の方向へ移動,1,上区鍋谷,1.72E+09,5.44E+08,36.4180121,136.5770389,1
POINT (136.6827199 36.5303298),1078,目撃,R2,R2.10.19,17時40分頃,金沢市,金沢市大桑町地内,クマ1頭（1.0ｍ程度）を道路付近で目撃,1,大桑,1.72E+09,5.44E+08,36.5303298,136.6827199,1
POINT (136.408931 36.33014),1080,目撃,R2,R2.10.19,18時00分,加賀市,加賀市箱宮町,箱宮町区長事務所付近で1頭を目撃,1,箱宮,1.72E+09,5.44E+08,36.33014,136.408931,1
POINT (136.5766852 36.4183197),1083,目撃,R2,R2.10.19,19時10分頃,能美市,能美市鍋谷町地内,鍋谷町公民館からさらに奥へ約1kmの場所にある民家の敷地で、柿の木に登る1頭を目撃,1,上区鍋谷,1.72E+09,5.44E+08,36.4183197,136.5766852,1
